,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
845244,0,Brain_Non-Myeloid_brain_pericyte,548,1.0,45,10_60296002_60296304,5903,Psap,0.022222222222222223
845245,1,Brain_Non-Myeloid_brain_pericyte,548,3.0,100,10_60296002_60296304,5903,Psap,0.03
845246,2,Brain_Non-Myeloid_brain_pericyte,548,3.0,8,10_60296002_60296304,5903,Psap,0.375
845247,3,Brain_Non-Myeloid_brain_pericyte,548,2.0,220,10_60296002_60296304,5903,Psap,0.00909090909090909
845248,4,Brain_Non-Myeloid_brain_pericyte,548,7.0,661,10_60296002_60296304,5903,Psap,0.01059001512859304
845249,5,Brain_Non-Myeloid_brain_pericyte,548,4.0,115,10_60296002_60296304,5903,Psap,0.034782608695652174
845250,6,Brain_Non-Myeloid_brain_pericyte,548,2.0,64,10_60296002_60296304,5903,Psap,0.03125
845251,8,Brain_Non-Myeloid_brain_pericyte,548,1.0,82,10_60296002_60296304,5903,Psap,0.012195121951219513
845252,11,Brain_Non-Myeloid_brain_pericyte,548,4.0,386,10_60296002_60296304,5903,Psap,0.010362694300518135
845253,12,Brain_Non-Myeloid_brain_pericyte,548,3.0,347,10_60296002_60296304,5903,Psap,0.008645533141210375
845254,14,Brain_Non-Myeloid_brain_pericyte,548,17.0,124,10_60296002_60296304,5903,Psap,0.13709677419354838
845255,15,Brain_Non-Myeloid_brain_pericyte,548,37.0,172,10_60296002_60296304,5903,Psap,0.21511627906976744
845256,16,Brain_Non-Myeloid_brain_pericyte,548,76.0,80,10_60296002_60296304,5903,Psap,0.95
845257,17,Brain_Non-Myeloid_brain_pericyte,548,5.0,299,10_60296002_60296304,5903,Psap,0.016722408026755852
845258,18,Brain_Non-Myeloid_brain_pericyte,548,7.0,514,10_60296002_60296304,5903,Psap,0.013618677042801557
845259,19,Brain_Non-Myeloid_brain_pericyte,548,3.0,151,10_60296002_60296304,5903,Psap,0.019867549668874173
845260,20,Brain_Non-Myeloid_brain_pericyte,548,6.0,481,10_60296002_60296304,5903,Psap,0.012474012474012475
845261,22,Brain_Non-Myeloid_brain_pericyte,548,9.0,223,10_60296002_60296304,5903,Psap,0.04035874439461883
845262,25,Brain_Non-Myeloid_brain_pericyte,548,13.0,65,10_60296002_60296304,5903,Psap,0.2
845263,27,Brain_Non-Myeloid_brain_pericyte,548,1.0,77,10_60296002_60296304,5903,Psap,0.012987012987012988
845264,28,Brain_Non-Myeloid_brain_pericyte,548,10.0,416,10_60296002_60296304,5903,Psap,0.02403846153846154
845265,30,Brain_Non-Myeloid_brain_pericyte,548,4.0,171,10_60296002_60296304,5903,Psap,0.023391812865497075
845266,31,Brain_Non-Myeloid_brain_pericyte,548,2.0,80,10_60296002_60296304,5903,Psap,0.025
845267,36,Brain_Non-Myeloid_brain_pericyte,548,6.0,444,10_60296002_60296304,5903,Psap,0.013513513513513514
845268,37,Brain_Non-Myeloid_brain_pericyte,548,4.0,272,10_60296002_60296304,5903,Psap,0.014705882352941176
845269,38,Brain_Non-Myeloid_brain_pericyte,548,2.0,57,10_60296002_60296304,5903,Psap,0.03508771929824561
845270,39,Brain_Non-Myeloid_brain_pericyte,548,3.0,63,10_60296002_60296304,5903,Psap,0.047619047619047616
845271,41,Brain_Non-Myeloid_brain_pericyte,548,3.0,122,10_60296002_60296304,5903,Psap,0.02459016393442623
845272,46,Brain_Non-Myeloid_brain_pericyte,548,5.0,17,10_60296002_60296304,5903,Psap,0.29411764705882354
845273,47,Brain_Non-Myeloid_brain_pericyte,548,32.0,182,10_60296002_60296304,5903,Psap,0.17582417582417584
845274,48,Brain_Non-Myeloid_brain_pericyte,548,30.0,67,10_60296002_60296304,5903,Psap,0.44776119402985076
845275,49,Brain_Non-Myeloid_brain_pericyte,548,37.0,396,10_60296002_60296304,5903,Psap,0.09343434343434344
845276,53,Brain_Non-Myeloid_brain_pericyte,548,3.0,50,10_60296002_60296304,5903,Psap,0.06
845277,55,Brain_Non-Myeloid_brain_pericyte,548,2.0,253,10_60296002_60296304,5903,Psap,0.007905138339920948
845278,56,Brain_Non-Myeloid_brain_pericyte,548,10.0,68,10_60296002_60296304,5903,Psap,0.14705882352941177
845279,58,Brain_Non-Myeloid_brain_pericyte,548,22.0,319,10_60296002_60296304,5903,Psap,0.06896551724137931
845280,60,Brain_Non-Myeloid_brain_pericyte,548,3.0,6,10_60296002_60296304,5903,Psap,0.5
845281,61,Brain_Non-Myeloid_brain_pericyte,548,1.0,18,10_60296002_60296304,5903,Psap,0.05555555555555555
845282,63,Brain_Non-Myeloid_brain_pericyte,548,13.0,84,10_60296002_60296304,5903,Psap,0.15476190476190477
845283,65,Brain_Non-Myeloid_brain_pericyte,548,100.0,408,10_60296002_60296304,5903,Psap,0.24509803921568626
845284,66,Brain_Non-Myeloid_brain_pericyte,548,5.0,64,10_60296002_60296304,5903,Psap,0.078125
845285,67,Brain_Non-Myeloid_brain_pericyte,548,7.0,473,10_60296002_60296304,5903,Psap,0.014799154334038054
845286,68,Brain_Non-Myeloid_brain_pericyte,548,4.0,243,10_60296002_60296304,5903,Psap,0.01646090534979424
845287,69,Brain_Non-Myeloid_brain_pericyte,548,7.0,72,10_60296002_60296304,5903,Psap,0.09722222222222222
845288,70,Brain_Non-Myeloid_brain_pericyte,548,4.0,168,10_60296002_60296304,5903,Psap,0.023809523809523808
845289,71,Brain_Non-Myeloid_brain_pericyte,548,27.0,73,10_60296002_60296304,5903,Psap,0.3698630136986301
845290,72,Brain_Non-Myeloid_brain_pericyte,548,3.0,204,10_60296002_60296304,5903,Psap,0.014705882352941176
845291,74,Brain_Non-Myeloid_brain_pericyte,548,1.0,112,10_60296002_60296304,5903,Psap,0.008928571428571428
845292,76,Brain_Non-Myeloid_brain_pericyte,548,2.0,88,10_60296002_60296304,5903,Psap,0.022727272727272728
845293,80,Brain_Non-Myeloid_brain_pericyte,548,2.0,181,10_60296002_60296304,5903,Psap,0.011049723756906077
845294,81,Brain_Non-Myeloid_brain_pericyte,548,1.0,96,10_60296002_60296304,5903,Psap,0.010416666666666666
845295,82,Brain_Non-Myeloid_brain_pericyte,548,17.0,86,10_60296002_60296304,5903,Psap,0.19767441860465115
845296,84,Brain_Non-Myeloid_brain_pericyte,548,1.0,110,10_60296002_60296304,5903,Psap,0.00909090909090909
845297,85,Brain_Non-Myeloid_brain_pericyte,548,230.0,433,10_60296002_60296304,5903,Psap,0.5311778290993071
845298,88,Brain_Non-Myeloid_brain_pericyte,548,4.0,91,10_60296002_60296304,5903,Psap,0.04395604395604396
845299,89,Brain_Non-Myeloid_brain_pericyte,548,2.0,95,10_60296002_60296304,5903,Psap,0.021052631578947368
845300,90,Brain_Non-Myeloid_brain_pericyte,548,1.0,70,10_60296002_60296304,5903,Psap,0.014285714285714285
845301,91,Brain_Non-Myeloid_brain_pericyte,548,6.0,137,10_60296002_60296304,5903,Psap,0.043795620437956206
845302,92,Brain_Non-Myeloid_brain_pericyte,548,77.0,194,10_60296002_60296304,5903,Psap,0.39690721649484534
845303,93,Brain_Non-Myeloid_brain_pericyte,548,1.0,54,10_60296002_60296304,5903,Psap,0.018518518518518517
845304,94,Brain_Non-Myeloid_brain_pericyte,548,11.0,709,10_60296002_60296304,5903,Psap,0.015514809590973202
845305,95,Brain_Non-Myeloid_brain_pericyte,548,25.0,173,10_60296002_60296304,5903,Psap,0.14450867052023122
845306,96,Brain_Non-Myeloid_brain_pericyte,548,2.0,92,10_60296002_60296304,5903,Psap,0.021739130434782608
845307,98,Brain_Non-Myeloid_brain_pericyte,548,1.0,51,10_60296002_60296304,5903,Psap,0.0196078431372549
845308,101,Brain_Non-Myeloid_brain_pericyte,548,1.0,52,10_60296002_60296304,5903,Psap,0.019230769230769232
845309,105,Brain_Non-Myeloid_brain_pericyte,548,5.0,64,10_60296002_60296304,5903,Psap,0.078125
845310,108,Brain_Non-Myeloid_brain_pericyte,548,3.0,254,10_60296002_60296304,5903,Psap,0.011811023622047244
845311,111,Brain_Non-Myeloid_brain_pericyte,548,1.0,100,10_60296002_60296304,5903,Psap,0.01
845312,112,Brain_Non-Myeloid_brain_pericyte,548,1.0,142,10_60296002_60296304,5903,Psap,0.007042253521126761
845313,113,Brain_Non-Myeloid_brain_pericyte,548,10.0,50,10_60296002_60296304,5903,Psap,0.2
845314,114,Brain_Non-Myeloid_brain_pericyte,548,36.0,485,10_60296002_60296304,5903,Psap,0.07422680412371134
845315,118,Brain_Non-Myeloid_brain_pericyte,548,2.0,88,10_60296002_60296304,5903,Psap,0.022727272727272728
845316,119,Brain_Non-Myeloid_brain_pericyte,548,5.0,142,10_60296002_60296304,5903,Psap,0.035211267605633804
845317,120,Brain_Non-Myeloid_brain_pericyte,548,1.0,110,10_60296002_60296304,5903,Psap,0.00909090909090909
845318,121,Brain_Non-Myeloid_brain_pericyte,548,4.0,168,10_60296002_60296304,5903,Psap,0.023809523809523808
845319,123,Brain_Non-Myeloid_brain_pericyte,548,1.0,73,10_60296002_60296304,5903,Psap,0.0136986301369863
845320,124,Brain_Non-Myeloid_brain_pericyte,548,13.0,38,10_60296002_60296304,5903,Psap,0.34210526315789475
845321,126,Brain_Non-Myeloid_brain_pericyte,548,2.0,63,10_60296002_60296304,5903,Psap,0.031746031746031744
845322,128,Brain_Non-Myeloid_brain_pericyte,548,1.0,24,10_60296002_60296304,5903,Psap,0.041666666666666664
845323,130,Brain_Non-Myeloid_brain_pericyte,548,17.0,77,10_60296002_60296304,5903,Psap,0.22077922077922077
845324,131,Brain_Non-Myeloid_brain_pericyte,548,37.0,61,10_60296002_60296304,5903,Psap,0.6065573770491803
845325,133,Brain_Non-Myeloid_brain_pericyte,548,1.0,70,10_60296002_60296304,5903,Psap,0.014285714285714285
845326,137,Brain_Non-Myeloid_brain_pericyte,548,15.0,264,10_60296002_60296304,5903,Psap,0.056818181818181816
845327,138,Brain_Non-Myeloid_brain_pericyte,548,1.0,142,10_60296002_60296304,5903,Psap,0.007042253521126761
845328,139,Brain_Non-Myeloid_brain_pericyte,548,1.0,128,10_60296002_60296304,5903,Psap,0.0078125
845329,140,Brain_Non-Myeloid_brain_pericyte,548,1.0,222,10_60296002_60296304,5903,Psap,0.0045045045045045045
845330,142,Brain_Non-Myeloid_brain_pericyte,548,4.0,33,10_60296002_60296304,5903,Psap,0.12121212121212122
845331,145,Brain_Non-Myeloid_brain_pericyte,548,3.0,22,10_60296002_60296304,5903,Psap,0.13636363636363635
845332,146,Brain_Non-Myeloid_brain_pericyte,548,4.0,521,10_60296002_60296304,5903,Psap,0.007677543186180422
845333,148,Brain_Non-Myeloid_brain_pericyte,548,90.0,406,10_60296002_60296304,5903,Psap,0.22167487684729065
845334,149,Brain_Non-Myeloid_brain_pericyte,548,2.0,53,10_60296002_60296304,5903,Psap,0.03773584905660377
845335,150,Brain_Non-Myeloid_brain_pericyte,548,6.0,30,10_60296002_60296304,5903,Psap,0.2
845336,151,Brain_Non-Myeloid_brain_pericyte,548,3.0,185,10_60296002_60296304,5903,Psap,0.016216216216216217
845337,152,Brain_Non-Myeloid_brain_pericyte,548,49.0,88,10_60296002_60296304,5903,Psap,0.5568181818181818
845338,154,Brain_Non-Myeloid_brain_pericyte,548,2.0,134,10_60296002_60296304,5903,Psap,0.014925373134328358
845339,156,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,51.0,144,10_60296002_60296304,5903,Psap,0.3541666666666667
845340,157,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,83.0,150,10_60296002_60296304,5903,Psap,0.5533333333333333
845341,158,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,71.0,206,10_60296002_60296304,5903,Psap,0.3446601941747573
845342,159,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,181.0,415,10_60296002_60296304,5903,Psap,0.43614457831325304
845343,160,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,231.0,343,10_60296002_60296304,5903,Psap,0.673469387755102
845344,161,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,132.0,222,10_60296002_60296304,5903,Psap,0.5945945945945946
845345,162,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,138.0,263,10_60296002_60296304,5903,Psap,0.5247148288973384
845346,163,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,594.0,614,10_60296002_60296304,5903,Psap,0.9674267100977199
845347,164,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,5.0,18,10_60296002_60296304,5903,Psap,0.2777777777777778
845348,165,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,53.0,107,10_60296002_60296304,5903,Psap,0.4953271028037383
845349,166,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,102.0,392,10_60296002_60296304,5903,Psap,0.2602040816326531
845350,167,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,137.0,288,10_60296002_60296304,5903,Psap,0.4756944444444444
845351,168,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,2.0,2,10_60296002_60296304,5903,Psap,1.0
845352,169,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,1.0,3,10_60296002_60296304,5903,Psap,0.3333333333333333
845353,170,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,33.0,33,10_60296002_60296304,5903,Psap,1.0
845354,171,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,214.0,561,10_60296002_60296304,5903,Psap,0.38146167557932265
845355,172,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,60.0,194,10_60296002_60296304,5903,Psap,0.30927835051546393
845356,173,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,80.0,146,10_60296002_60296304,5903,Psap,0.547945205479452
845357,174,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,104.0,176,10_60296002_60296304,5903,Psap,0.5909090909090909
845358,175,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,408.0,842,10_60296002_60296304,5903,Psap,0.4845605700712589
845359,176,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,20.0,30,10_60296002_60296304,5903,Psap,0.6666666666666666
845360,177,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,113.0,347,10_60296002_60296304,5903,Psap,0.3256484149855908
845361,178,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,159.0,208,10_60296002_60296304,5903,Psap,0.7644230769230769
845362,179,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,22.0,22,10_60296002_60296304,5903,Psap,1.0
845363,180,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,829.0,1872,10_60296002_60296304,5903,Psap,0.4428418803418803
845364,181,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,88.0,90,10_60296002_60296304,5903,Psap,0.9777777777777777
845365,182,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,10.0,18,10_60296002_60296304,5903,Psap,0.5555555555555556
845366,183,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,351.0,533,10_60296002_60296304,5903,Psap,0.6585365853658537
845367,184,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,128.0,131,10_60296002_60296304,5903,Psap,0.9770992366412213
845368,186,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,88.0,121,10_60296002_60296304,5903,Psap,0.7272727272727273
845369,187,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,548,66.0,80,10_60296002_60296304,5903,Psap,0.825
